,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
149,149,One Punch Man,2015,2019,8.7,24 ,164075,"Animation, Action, Comedy",TV-PG,Animation
150,150,The Grand Tour,2016,,8.7,60 ,76925,"Comedy, Sport, Talk-Show",TV-14,Comedy
151,151,Peep Show,2003,2015,8.7,25 ,61787,Comedy,TV-MA,Comedy
152,152,Top Gear,2002,,8.7,60 ,120490,"Adventure, Comedy, Reality-TV",TV-PG,Adventure
153,153,The Family Man,2019,,8.7,45 ,88124,"Action, Comedy, Drama",TV-14,Action
154,154,The Bureau,2015,,8.7,52 ,12263,"Drama, Thriller",TV-MA,Drama
155,155,Primal,2019,,8.7,22 ,16053,"Animation, Action, Adventure",TV-MA,Animation
156,156,The Carol Burnett Show,1967,1978,8.7,60 ,6579,"Comedy, Family",TV-G,Comedy
157,157,Homicide: Life on the Street,1993,1999,8.7,60 ,13091,"Crime, Drama, Mystery",TV-14,Crime
158,158,Mr. Sunshine,2018,,8.7,80 ,8310,"Action, Drama, Romance",TV-MA,Action
159,159,Justice League Unlimited,2004,2006,8.7,23 ,17101,"Animation, Action, Adventure",TV-Y7-FV,Animation
160,160,Father Ted,1995,1998,8.7,25 ,41304,Comedy,TV-14,Comedy
161,161,The Adventures of Sherlock Holmes,1984,1985,8.7,60 ,22752,"Crime, Drama, Mystery",TV-PG,Crime
162,162,The Thick of It,2005,2012,8.7,29 ,24194,Comedy,TV-MA,Comedy
163,163,Mystery Science Theater 3000,1988,1999,8.7,92 ,24937,"Comedy, Sci-Fi",TV-14,Comedy
164,164,The Case-Book of Sherlock Holmes,1991,1993,8.7,60 ,5855,"Crime, Drama, Mystery",,Crime
165,165,How to with John Wilson,2020,,8.7,30 ,9405,"Documentary, Comedy",TV-MA,Documentary
166,166,Umbre,2014,2019,8.7,45 ,10578,"Crime, Drama, Thriller",TV-MA,Crime
167,167,The Return of Sherlock Holmes,1986,1988,8.7,60 ,12499,"Crime, Drama, Mystery",TV-PG,Crime
168,168,Mind Your Language,1977,1986,8.7,30 ,8971,Comedy,TV-14,Comedy
169,169,The Repair Shop,2017,,8.7,30 ,1682,"Documentary, Reality-TV",,Documentary
170,170,Nova,1974,,8.7,60 ,2855,Documentary,TV-PG,Documentary
171,171,Dark Side of the Ring,2019,,8.7,60 ,3081,"Documentary, Drama, History",TV-14,Documentary
172,172,Mister Rogers' Neighborhood,1968,2001,8.7,30 ,9017,"Family, Fantasy, Music",TV-Y,Family
173,173,Yes Minister,1980,1984,8.7,30 ,15261,Comedy,TV-PG,Comedy
174,174,"You Rang, M'Lord?",1988,1993,8.7,50 ,3413,Comedy,,Comedy
175,175,Nirvanna the Band the Show,2016,,8.7,22 ,1799,Comedy,TV-MA,Comedy
176,176,Lenox Hill,2020,,8.7,,2418,Documentary,TV-MA,Documentary
177,177,ImMATURE,2019,,8.7,25 ,9205,"Comedy, Drama, Romance",,Comedy
178,178,BuzzFeed Unsolved: Supernatural,2016,2021,8.7,,1594,"Adventure, Comedy, Horror",Not Rated,Adventure
179,179,Profit,1996,1997,8.7,90 ,2061,"Crime, Drama",,Crime
180,180,Bose: Dead/Alive,2017,,8.7,20 ,6723,"Biography, History, Mystery",TV-MA,Biography
181,181,In the Nick of Time,2005,2007,8.7,45 ,5109,"Comedy, Drama, Mystery",,Comedy
182,182,Mind Field,2017,,8.7,26 ,2638,Documentary,TV-14,Documentary
183,183,Breaking News,1994,1997,8.7,30 ,1282,"Comedy, Drama",,Comedy
184,184,Your Movie Sucks,2010,,8.7,,4167,"Comedy, Talk-Show",TV-14,Comedy
185,185,The Universe,2007,2015,8.7,45 ,5838,"Documentary, History",TV-14,Documentary
186,186,Vengeance Unlimited,1998,1999,8.7,60 ,1113,"Crime, Drama",TV-14,Crime
187,187,Wannous,2016,,8.7,,2316,"Drama, Mystery",,Drama
188,188,Dave Chappelle,2017,,8.7,66 ,2923,"Documentary, Comedy",,Documentary
189,189,Stewart Lee's Comedy Vehicle,2009,,8.7,,1709,Comedy,,Comedy
190,190,Ralphthemoviemaker,2013,2022,8.7,,2096,"Documentary, Comedy, Fantasy",TV-MA,Documentary
191,191,The Chaser's War on Everything,2006,2009,8.7,26 ,2727,Comedy,,Comedy
192,192,The Other Sport,2013,,8.7,44 ,1209,"Documentary, Sport",,Documentary
193,193,1923,2022,2023,8.6,60 ,15287,"Drama, Western",TV-MA,Drama
194,194,The Crown,2016,2023,8.6,58 ,225634,"Biography, Drama, History",TV-MA,Biography
195,195,Doctor Who,2005,,8.6,45 ,228593,"Adventure, Drama, Sci-Fi",TV-PG,Adventure
196,196,Shameless,2011,2021,8.6,46 ,247768,"Comedy, Drama",TV-MA,Comedy
